#SampleID	Fn_Cp	GAS_Reads	GAS_Rel	FN_pos	GAS_bin	GAS_pos	Cat
o4222	0	0	0	FALSE	negative	FALSE	Both neg
o4223	0	0	0	FALSE	negative	FALSE	Both neg
o4224	0	0	0	FALSE	negative	FALSE	Both neg
o4225	0	0	0	FALSE	negative	FALSE	Both neg
o4226	0	0	0	FALSE	negative	FALSE	Both neg
o4227	0	0	0	FALSE	negative	FALSE	Both neg
o4228	0	0	0	FALSE	negative	FALSE	Both neg
o4230	0	0	0	FALSE	negative	FALSE	Both neg
o4231	0	0	0	FALSE	negative	FALSE	Both neg
o4232	0	0	0	FALSE	negative	FALSE	Both neg
o4234	0	0	0	FALSE	negative	FALSE	Both neg
o4235	0	0	0	FALSE	negative	FALSE	Both neg
o4236	0	0	0	FALSE	negative	FALSE	Both neg
o4238	0	0	0	FALSE	negative	FALSE	Both neg
o4242	0	0	0	FALSE	negative	FALSE	Both neg
o4245	0	0	0	FALSE	negative	FALSE	Both neg
o4246	0	0	0	FALSE	negative	FALSE	Both neg
o4247	0	0	0	FALSE	negative	FALSE	Both neg
o4248	0	0	0	FALSE	negative	FALSE	Both neg
o4249	0	0	0	FALSE	negative	FALSE	Both neg
o4250	0	0	0	FALSE	negative	FALSE	Both neg
o4252	0	0	0	FALSE	negative	FALSE	Both neg
o4253	0	0	0	FALSE	negative	FALSE	Both neg
o4255	0	0	0	FALSE	negative	FALSE	Both neg
o4256	0	0	0	FALSE	negative	FALSE	Both neg
o4258	0	0	0	FALSE	negative	FALSE	Both neg
o4261	0	0	0	FALSE	negative	FALSE	Both neg
o4263	0	0	0	FALSE	negative	FALSE	Both neg
o4264	0	0	0	FALSE	negative	FALSE	Both neg
o4265	0	0	0	FALSE	negative	FALSE	Both neg
o4266	0	0	0	FALSE	negative	FALSE	Both neg
o4267	0	0	0	FALSE	negative	FALSE	Both neg
o4269	0	0	0	FALSE	negative	FALSE	Both neg
o4270	0	0	0	FALSE	negative	FALSE	Both neg
o4271	0	0	0	FALSE	negative	FALSE	Both neg
o4273	0	0	0	FALSE	negative	FALSE	Both neg
o4275	0	0	0	FALSE	negative	FALSE	Both neg
o4276	0	0	0	FALSE	negative	FALSE	Both neg
o4279	0	0	0	FALSE	negative	FALSE	Both neg
o4283	0	0	0	FALSE	negative	FALSE	Both neg
o4287	0	0	0	FALSE	negative	FALSE	Both neg
o4289	0	0	0	FALSE	negative	FALSE	Both neg
o4291	0	0	0	FALSE	negative	FALSE	Both neg
o4292	0	0	0	FALSE	negative	FALSE	Both neg
o4294	0	0	0	FALSE	negative	FALSE	Both neg
o4296	0	0	0	FALSE	negative	FALSE	Both neg
o4297	0	0	0	FALSE	negative	FALSE	Both neg
o4298	0	0	0	FALSE	negative	FALSE	Both neg
o4299	0	0	0	FALSE	negative	FALSE	Both neg
o4300	0	0	0	FALSE	negative	FALSE	Both neg
o4301	0	0	0	FALSE	negative	FALSE	Both neg
o4302	0	0	0	FALSE	negative	FALSE	Both neg
o4303	0	0	0	FALSE	negative	FALSE	Both neg
o4306	0	0	0	FALSE	negative	FALSE	Both neg
o4307	0	0	0	FALSE	negative	FALSE	Both neg
o4309	0	0	0	FALSE	negative	FALSE	Both neg
o4310	0	0	0	FALSE	negative	FALSE	Both neg
o4312	0	0	0	FALSE	negative	FALSE	Both neg
o4315	0	0	0	FALSE	negative	FALSE	Both neg
o4316	0	0	0	FALSE	negative	FALSE	Both neg
o4318	0	0	0	FALSE	negative	FALSE	Both neg
o4320	0	0	0	FALSE	negative	FALSE	Both neg
o4321	0	0	0	FALSE	negative	FALSE	Both neg
o4322	0	0	0	FALSE	negative	FALSE	Both neg
o4323	0	0	0	FALSE	negative	FALSE	Both neg
o4325	0	0	0	FALSE	negative	FALSE	Both neg
o4327	0	0	0	FALSE	negative	FALSE	Both neg
o4328	0	0	0	FALSE	negative	FALSE	Both neg
o4329	0	0	0	FALSE	negative	FALSE	Both neg
o4330	0	0	0	FALSE	negative	FALSE	Both neg
o4331	0	0	0	FALSE	negative	FALSE	Both neg
o4332	0	0	0	FALSE	negative	FALSE	Both neg
o4333	0	0	0	FALSE	negative	FALSE	Both neg
o4334	0	0	0	FALSE	negative	FALSE	Both neg
o4336	0	0	0	FALSE	negative	FALSE	Both neg
o4337	0	0	0	FALSE	negative	FALSE	Both neg
o4338	0	0	0	FALSE	negative	FALSE	Both neg
o4339	0	0	0	FALSE	negative	FALSE	Both neg
o4340	0	0	0	FALSE	negative	FALSE	Both neg
o4343	0	0	0	FALSE	negative	FALSE	Both neg
o4345	0	0	0	FALSE	negative	FALSE	Both neg
o4389	0	0	0	FALSE	negative	FALSE	Both neg
o4169	18.17	0	0	TRUE	negative	FALSE	FN pos
o4079	23.3	0	0	TRUE	negative	FALSE	FN pos
o4204	23.76	0	0	TRUE	negative	FALSE	FN pos
o4317	24.43	0	0	TRUE	negative	FALSE	FN pos
o4335	24.68	0	0	TRUE	negative	FALSE	FN pos
o4002	25.4	0	0	TRUE	negative	FALSE	FN pos
o4137	25.62	0	0	TRUE	negative	FALSE	FN pos
o4060	26.39	0	0	TRUE	negative	FALSE	FN pos
o3158	26.77	0	0	TRUE	negative	FALSE	FN pos
o4035	27.78	0	0	TRUE	negative	FALSE	FN pos
o4074	27.96	0	0	TRUE	negative	FALSE	FN pos
o4194	29.69	0	0	TRUE	negative	FALSE	FN pos
o4093	29.93	0	0	TRUE	negative	FALSE	FN pos
o4293	30.49	0	0	TRUE	negative	FALSE	FN pos
o3061	30.62	0	0	TRUE	negative	FALSE	FN pos
o4319	30.66	0	0	TRUE	negative	FALSE	FN pos
o4111	30.71	0	0	TRUE	negative	FALSE	FN pos
o4243	30.85	0	0	TRUE	negative	FALSE	FN pos
o4061	31.47	0	0	TRUE	negative	FALSE	FN pos
o3042	31.73	0	0	TRUE	negative	FALSE	FN pos
o3161	31.86	0	0	TRUE	negative	FALSE	FN pos
o3011	32.04	0	0	TRUE	negative	FALSE	FN pos
o4143	32.26	0	0	TRUE	negative	FALSE	FN pos
o3155	32.48	0	0	TRUE	negative	FALSE	FN pos
o4239	32.59	0	0	TRUE	negative	FALSE	FN pos
o3130	33.06	0	0	TRUE	negative	FALSE	FN pos
o3095	33.26	0	0	TRUE	negative	FALSE	FN pos
o4215	33.46	0	0	TRUE	negative	FALSE	FN pos
o3147	33.51	0	0	TRUE	negative	FALSE	FN pos
o4067	33.61	0	0	TRUE	negative	FALSE	FN pos
o3062	33.72	0	0	TRUE	negative	FALSE	FN pos
o4136	33.77	0	0	TRUE	negative	FALSE	FN pos
o4259	33.8	0	0	TRUE	negative	FALSE	FN pos
o4196	34.83	0	0	TRUE	negative	FALSE	FN pos
o3077	34.91	0	0	TRUE	negative	FALSE	FN pos
o4205	35.14	0	0	TRUE	negative	FALSE	FN pos
o3099	35.23	0	0	TRUE	negative	FALSE	FN pos
o4344	35.58	0	0	TRUE	negative	FALSE	FN pos
o4118	35.66	0	0	TRUE	negative	FALSE	FN pos
o4021	36.01	0	0	TRUE	negative	FALSE	FN pos
o3156	36.04	0	0	TRUE	negative	FALSE	FN pos
o4324	36.26	0	0	TRUE	negative	FALSE	FN pos
o4033	36.56	0	0	TRUE	negative	FALSE	FN pos
o4011	36.81	0	0	TRUE	negative	FALSE	FN pos
o4219	36.99	0	0	TRUE	negative	FALSE	FN pos
o4064	37.64	0	0	TRUE	negative	FALSE	FN pos
o4045	37.97	0	0	TRUE	negative	FALSE	FN pos
o4037	38.1	0	0	TRUE	negative	FALSE	FN pos
o4147	39.52	0	0	TRUE	negative	FALSE	FN pos
o3120	39.54	0	0	TRUE	negative	FALSE	FN pos
o4077	39.56	0	0	TRUE	negative	FALSE	FN pos
o4342	39.74	0	0	TRUE	negative	FALSE	FN pos
o4040	40.17	0	0	TRUE	negative	FALSE	FN pos
o4070	41.1	0	0	TRUE	negative	FALSE	FN pos
o4277	41.46	0	0	TRUE	negative	FALSE	FN pos
o4272	42.08	0	0	TRUE	negative	FALSE	FN pos
o4290	44.66	0	0	TRUE	negative	FALSE	FN pos
